subject,subject_grades,subject_session
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME10001-MECHANICS,B,Autumn18
PH11001-PHYSICS,EX,Autumn18
PH19001-PHYSICS LAB.,A,Autumn18
CY11001-CHEMISTRY,A,Spring19
CY19001-CHEMISTRY LAB.,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,EX,Spring19
HS13001-ENGLISH FOR COMMUNICATION,A,Spring19
MA10002-MATHEMATICS-II,B,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn19
MA20101-TRANSFORM CALCULUS,B,Autumn19
MA21007-DESIGN & ANALYSIS OF ALGORITHMS,B,Autumn19
PH20003-PHYSICS-II,C,Autumn19
PH20007-CLASSICAL MECHANICS-I,A,Autumn19
PH21001-ELECTRODYNAMICS-I,B,Autumn19
PH29001-GENERAL PROPERTIES & THERMAL PHYSICS LAB,EX,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EC21101-BASIC ELECTRONICS,A,Spring20
EC29001-BASIC ELECTRONICS LAB.,EX,Spring20
EV20001-ENVIRONMENTAL SCIENCE,EX,Spring20
HS20001-ECONOMICS,A,Spring20
PH20101-FLUID MECHANICS AND ELASTICITY,EX,Spring20
PH21004-THERMAL PHYSICS,EX,Spring20
PH29008-ELECTROMAGNETISM & OPTICS LAB - I,EX,Spring20
PH31003-ELECTRODYNAMICS-II,B,Autumn20
PH31007-CLASSICAL MECHANICS-II,C,Autumn20
PH31009-ELECTRONICS FOR PHYSICISTS,B,Autumn20
PH31011-QUANTUM MECHANICS I,D,Autumn20
PH31013-MATHEMATICAL METHODS I,C,Autumn20
PH39003-ELECTRONICS LAB.,I,Autumn20
PH39005-ELECTROMAGNETISM & OPTICS LAB - II,I,Autumn20
PH38002-COMPREHENSIVE VIVA VOCE - I,A,Spring21
PH39008-ELECTROMAGNETISM & OPTICS LAB - III,,Spring21
PH41008-MATHEMATICAL METHODS -II,B,Spring21
PH41010-QUANTUM MECHANICS-II,C,Spring21
PH41012-COMPUTATIONAL METHODS,A,Spring21
PH41014-CONDENSED MATTER PHYSICS-I,A,Spring21
PH41016-NUCLEAR AND PARTICLE PHYSICS -I,B,Spring21
PH49012-COMPUTATIONAL PHYSICS LAB.,A,Spring21
PH49016-NUCLEAR & PARTICLE PHYSICS LAB I,,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,EX,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,D,Autumn18
ME10001-MECHANICS,D,Autumn18
PH11001-PHYSICS,D,Autumn18
PH19001-PHYSICS LAB.,A,Autumn18
CY11001-CHEMISTRY,C,Spring19
CY19001-CHEMISTRY LAB.,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19
EE11001-ELECTRICAL TECHNOLOGY,D,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring19
HS13001-ENGLISH FOR COMMUNICATION,B,Spring19
MA10002-MATHEMATICS-II,C,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
MA20101-TRANSFORM CALCULUS,C,Autumn19
PH20003-PHYSICS-II,C,Autumn19
PH20007-CLASSICAL MECHANICS-I,B,Autumn19
PH21001-ELECTRODYNAMICS-I,C,Autumn19
PH29001-GENERAL PROPERTIES & THERMAL PHYSICS LAB,A,Autumn19
RD30002-TRANSFER AND MANAGEMENT OF RURAL TECHNOLOGY,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20
EC21101-BASIC ELECTRONICS,C,Spring20
EC29001-BASIC ELECTRONICS LAB.,EX,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20001-ECONOMICS,A,Spring20
PH20101-FLUID MECHANICS AND ELASTICITY,B,Spring20
PH21004-THERMAL PHYSICS,A,Spring20
PH29008-ELECTROMAGNETISM & OPTICS LAB - I,A,Spring20
PH31003-ELECTRODYNAMICS-II,A,Autumn20
PH31007-CLASSICAL MECHANICS-II,A,Autumn20
PH31009-ELECTRONICS FOR PHYSICISTS,A,Autumn20
PH31011-QUANTUM MECHANICS I,C,Autumn20
PH31013-MATHEMATICAL METHODS I,B,Autumn20
PH39003-ELECTRONICS LAB.,I,Autumn20
PH39005-ELECTROMAGNETISM & OPTICS LAB - II,I,Autumn20
PH38002-COMPREHENSIVE VIVA VOCE - I,A,Spring21
PH39008-ELECTROMAGNETISM & OPTICS LAB - III,,Spring21
PH41008-MATHEMATICAL METHODS -II,A,Spring21
PH41010-QUANTUM MECHANICS-II,C,Spring21
PH41012-COMPUTATIONAL METHODS,EX,Spring21
PH41014-CONDENSED MATTER PHYSICS-I,A,Spring21
PH41016-NUCLEAR AND PARTICLE PHYSICS -I,A,Spring21
PH49012-COMPUTATIONAL PHYSICS LAB.,A,Spring21
PH49016-NUCLEAR & PARTICLE PHYSICS LAB I,,Spring21
PH60308-,B,Spring21
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,A,Autumn18
ME10001-MECHANICS,EX,Autumn18
PH11001-PHYSICS,EX,Autumn18
PH19001-PHYSICS LAB.,EX,Autumn18
CY11001-CHEMISTRY,A,Spring19
CY19001-CHEMISTRY LAB.,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
EE11001-ELECTRICAL TECHNOLOGY,EX,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring19
