subject,subject_grades,subject_session
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,D,Autumn18
ME10001-MECHANICS,P,Autumn18
PH11001-PHYSICS,D,Autumn18
PH19001-PHYSICS LAB.,A,Autumn18
CY11001-CHEMISTRY,C,Spring18
CY19001-CHEMISTRY LAB.,A,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring18
EE11001-ELECTRICAL TECHNOLOGY,D,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring18
HS13001-ENGLISH FOR COMMUNICATION,B,Spring18
MA10002-MATHEMATICS-II,C,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
HS20001-ECONOMICS,D,Autumn19
MA20101-TRANSFORM CALCULUS,P,Autumn19
ME21101-FLUID MECHANICS,B,Autumn19
ME21103-MECHANICS OF SOLIDS,D,Autumn19
NA21003-MARINE CONSTRUCTION AND WELDING,C,Autumn19
NA21101-HYDROSTATICS AND STABILITY,A,Autumn19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,EX,Spring19
MA20102-NUMERICAL SOLUTION OF ORDINARY AND PDE,D,Spring19
ME22002-THERMODYNAMICS,D,Spring19
NA21001-MARINE HYDRODYNAMICS,B,Spring19
NA21004-SHIP STRENGTH,P,Spring19
NA29002-LINES PLAN AND HYDROSTATICS LABORATORY,A,Spring19
BS20001-SCIENCE OF LIVING SYSTEM,A,Autumn20
EV20001-ENVIRONMENTAL SCIENCE,A,Autumn20
NA31001-ELEMENTS OF OCEAN ENGINEERING,EX,Autumn20
NA31003-MARINE PRODUCTION AND PLANNING,A,Autumn20
NA31005-RESISTANCE AND PROPULSION,B,Autumn20
NA31007-VIBRATION OF FLOATING STRUCTURES,B,Autumn20
NA39009-STRUCTURAL DESIGN & COMPUTATION LAB,I,Autumn20
NA39011-HYDRODYNAMICS LABORATORY,I,Autumn20
AI61002-,A,Spring20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring20
NA31002-MARINE DESIGN,,Spring20
NA31004-CAD-CAM MARINE DESIGN & PRODUCTION,EX,Spring20
NA31006-SEAKEEPING & MANEUVERING,A,Spring20
NA39004-CAD-CAM LAB.,,Spring20
NA39006-MARINE DESIGN LABORATORY - I,,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,D,Autumn18
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn18
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,C,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
MA10001-MATHEMATICS-I,P,Autumn18
ME10001-MECHANICS,P,Autumn18
PH11001-PHYSICS,D,Autumn18
PH19001-PHYSICS LAB.,A,Autumn18
CY11001-CHEMISTRY,D,Spring18
CY19001-CHEMISTRY LAB.,B,Spring18
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring18
EE11001-ELECTRICAL TECHNOLOGY,P,Spring18
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Spring18
HS13001-ENGLISH FOR COMMUNICATION,C,Spring18
MA10002-MATHEMATICS-II,D,Spring18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Spring18
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
HS20001-ECONOMICS,C,Autumn19
MA20101-TRANSFORM CALCULUS,P,Autumn19
ME21101-FLUID MECHANICS,C,Autumn19
ME21103-MECHANICS OF SOLIDS,C,Autumn19
NA21003-MARINE CONSTRUCTION AND WELDING,C,Autumn19
NA21101-HYDROSTATICS AND STABILITY,D,Autumn19
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring19
EC21101-BASIC ELECTRONICS,C,Spring19
EC29001-BASIC ELECTRONICS LAB.,EX,Spring19
