subject,subject_grades,subject_session
CY11001-CHEMISTRY,A,Autumn18
CY19001-CHEMISTRY LAB.,EX,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn18
MA10001-MATHEMATICS-I,EX,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,EX,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME10001-MECHANICS,A,Spring19
PH11001-PHYSICS,A,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,EX,Autumn19
EE21101-SIGNALS & NETWORKS,B,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,A,Autumn19
HS60005-,EX,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,B,Autumn19
RX76001-,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,B,Spring20
CS21003-ALGORITHMS - I,EX,Spring20
CS29003-ALGORITHMS LABORATORY,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,B,Spring20
EC21008-ANALOG ELECTRONIC CIRCUITS,EX,Spring20
EC29008-ANALOG  CIRCUITS LAB.,A,Spring20
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,A,Spring20
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,A,Spring20
EV20001-ENVIRONMENTAL SCIENCE,B,Spring20
HS30074-SCIENCE AND HUMANISM,A,Spring20
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring20
CH31001-MASS TRANSFER I,EX,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,B,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,A,Autumn20
EP60005-,EX,Autumn20
IE31001-INSTRUMENTATION DEVICES,B,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,A,Autumn20
CH39006-MASS TRANSFER LABORATORY,,Spring21
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,A,Spring21
CS60086-,B,Spring21
EE30004-EMBEDDED SYSTEMS,B,Spring21
EE39004-EMBEDDED SYSTEMS LAB.,B,Spring21
IE30002-INSTRUMENTATION DEVICES-II,B,Spring21
IE30006-DATA COMMUNICATION,B,Spring21
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring21
MT21104-GENETIC ALGORITHMS IN ENGINEERING PROCESS MODELING,A,Spring21
CY11001-CHEMISTRY,B,Autumn18
CY19001-CHEMISTRY LAB.,A,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,C,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn18
MA10001-MATHEMATICS-I,EX,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME10001-MECHANICS,A,Spring19
PH11001-PHYSICS,EX,Spring19
PH19001-PHYSICS LAB.,A,Spring19
CS40019-IMAGE PROCESSING,A,Autumn19
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn19
EC21103-INTRODUCTION TO ELECTRONICS,A,Autumn19
EC29003-INTRODUCTION TO ELECTRONICS LAB.,A,Autumn19
EE21101-SIGNALS & NETWORKS,A,Autumn19
EE29001-SIGNALS & NETWORKS LAB.,B,Autumn19
HS20018-SANSKRIT AND HERITAGE,A,Autumn19
MA20101-TRANSFORM CALCULUS,EX,Autumn19
PH20003-PHYSICS-II,A,Autumn19
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring20
CS21003-ALGORITHMS - I,EX,Spring20
CS29003-ALGORITHMS LABORATORY,EX,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EC21008-ANALOG ELECTRONIC CIRCUITS,A,Spring20
EC29008-ANALOG  CIRCUITS LAB.,EX,Spring20
EE21004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS,EX,Spring20
EE29004-MEASUREMENTS AND ELECTRONIC INSTRUMENTS LAB.,C,Spring20
EV20001-ENVIRONMENTAL SCIENCE,B,Spring20
HS20016-ENVIRONMENTAL HUMANITIES,EX,Spring20
MA20106-PROBABILITY & STOCHASTIC PROCESSES,EX,Spring20
CH31001-MASS TRANSFER I,EX,Autumn20
EC31003-DIGITAL ELECTRONIC CIRCUITS,A,Autumn20
EC39003-DIGITAL ELECTRONIC CIRCUITS LAB.,EX,Autumn20
EE31009-CONTROL SYSTEM ENGINEERING,B,Autumn20
EE39009-CONTROL AND INSTRUMENTATION LAB.,B,Autumn20
EP60025-,A,Autumn20
IE31001-INSTRUMENTATION DEVICES,C,Autumn20
IE39001-INSTRUMENTATION DEVICES LABORATORY,EX,Autumn20
BM40002-INTRODUCTION TO FINANCIAL MANAGEMENT,A,Spring21
CH39006-MASS TRANSFER LABORATORY,,Spring21
CS31702-COMPUTER ARCHITECTURE AND OPERATING SYSTEM,A,Spring21
CS60016-,B,Spring21
EE30004-EMBEDDED SYSTEMS,A,Spring21
EE39004-EMBEDDED SYSTEMS LAB.,B,Spring21
IE30002-INSTRUMENTATION DEVICES-II,B,Spring21
IE30006-DATA COMMUNICATION,B,Spring21
IE39002-INSTRUMENTATION LABORATORY-II,A,Spring21
CY11001-CHEMISTRY,D,Autumn18
CY19001-CHEMISTRY LAB.,A,Autumn18
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn18
EA10005-INDUCTION PROGRAM,Y,Autumn18
EE11001-ELECTRICAL TECHNOLOGY,EX,Autumn18
EE19001-ELECTRICAL TECHNOLOGY LAB.,C,Autumn18
HS13001-ENGLISH FOR COMMUNICATION,EX,Autumn18
MA10001-MATHEMATICS-I,C,Autumn18
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn18
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
MA10002-MATHEMATICS-II,B,Spring19
ME10001-MECHANICS,P,Spring19
PH11001-PHYSICS,P,Spring19
PH19001-PHYSICS LAB.,D,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn19
