subject,subject_grades,subject_session
AR12003-INTRODUCTION TO ARCHITECTURE,B,Autumn19
AR13201-BASIC DESIGN-I,EX,Autumn19
AR13203-DESCRIPTIVE GEOMETRY-I,B,Autumn19
AR13205-GRAPHICS AND VISUAL COMMUNICATION,C,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
AR12002-BUILDING MATERIALS,EX,Spring20
AR13202-BASIC DESIGN-II  AND MODELING,A,Spring20
AR13204-DESCRIPTIVE GEOMETRY-II,A,Spring20
CS10001-PROGRAMMING AND DATA STRUCTURES,EX,Spring20
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,EX,Spring20
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring20
MA10002-MATHEMATICS-II,B,Spring20
ME10001-MECHANICS,C,Spring20
AR22001-ADVANCED BUILDING MATERIALS AND COMPOSITES,EX,Autumn20
AR22003-CLIMATOLOGY & SOLAR ARCHITECTURE,A,Autumn20
AR22005-HISTORY OF ARCHITECTURE-I,A,Autumn20
AR22007-ENVIRONMENTAL STUDIES,A,Autumn20
AR23201-ARCHITECTURAL DESIGN I AND FIELD STUDY,A,Autumn20
AR23203-BUILDING CONSTRUCTION - I,A,Autumn20
"AR23205-PHOTOGRAPHY, ART & ADVANCED VISUAL COMMUNICATION",A,Autumn20
CE20103-TRANSPORTATION ENGG.,B,Autumn20
HS20001-ECONOMICS,A,Autumn20
AR22004-WATER SUPPLY AND SANITATION,A,Spring21
AR22006-HISTORY OF ARCHITECTURE-II,EX,Spring21
AR23202-ARCHITECTURAL DESIGN II AND FIELD STUDY,A,Spring21
AR23204-BUILDING CONSTRUCTION II,A,Spring21
AR23206-COMPUTER AIDED DESIGN AND SIMULATION,A,Spring21
AR32008-ENERGY EFFICIENT DESIGN,EX,Spring21
CE21004-STRUCTURAL ANALYSIS,A,Spring21
CE29002-SURVEYING PEACTICE,A,Spring21
CE29006-WATER RESOURCES ENGG. LABORATORY,C,Spring21
AR12003-INTRODUCTION TO ARCHITECTURE,EX,Autumn19
AR13201-BASIC DESIGN-I,EX,Autumn19
AR13203-DESCRIPTIVE GEOMETRY-I,A,Autumn19
AR13205-GRAPHICS AND VISUAL COMMUNICATION,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
