subject,subject_grades,subject_session
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,A,Spring19
MA10002-MATHEMATICS-II,A,Spring19
ME10001-MECHANICS,A,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
HS20018-SANSKRIT AND HERITAGE,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
AI61005-,C,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EV20001-ENVIRONMENTAL SCIENCE,B,Spring20
HS20006-MICRO ECONOMICS-II,C,Spring20
HS20008-MACRO ECONOMICS-II,C,Spring20
HS20009-DEVELOPMENT ECONOMICS,C,Spring20
MA20104-PROBABILITY & STATISTICS,B,Spring20
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,B,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,B,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,C,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,A,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,A,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
MA10002-MATHEMATICS-II,A,Spring19
ME10001-MECHANICS,EX,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,A,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,A,Autumn20
HS20007-MACRO ECONOMICS-I,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,B,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
RX60019-,C,Autumn20
AI61005-,A,Spring20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20006-MICRO ECONOMICS-II,EX,Spring20
HS20008-MACRO ECONOMICS-II,B,Spring20
HS20009-DEVELOPMENT ECONOMICS,A,Spring20
MA20104-PROBABILITY & STATISTICS,C,Spring20
CY11001-CHEMISTRY,A,Autumn19
CY19001-CHEMISTRY LAB.,B,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,D,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,A,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,B,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,D,Spring19
MA10002-MATHEMATICS-II,A,Spring19
ME10001-MECHANICS,C,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,B,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
EP60020-,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,A,Autumn20
HS30041-CONTEMPORARY DRAMA AND THEATRE,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20006-MICRO ECONOMICS-II,EX,Spring20
HS20008-MACRO ECONOMICS-II,B,Spring20
HS20009-DEVELOPMENT ECONOMICS,A,Spring20
MA20013-DISCRETE MATHEMATICS,EX,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
CY11001-CHEMISTRY,B,Autumn19
CY19001-CHEMISTRY LAB.,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
EE11001-ELECTRICAL TECHNOLOGY,P,Autumn19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Autumn19
HS13001-ENGLISH FOR COMMUNICATION,B,Autumn19
MA10001-MATHEMATICS-I,B,Autumn19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Autumn19
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Spring19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Spring19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,B,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,EX,Spring19
MA10002-MATHEMATICS-II,A,Spring19
ME10001-MECHANICS,D,Spring19
PH11001-PHYSICS,B,Spring19
PH19001-PHYSICS LAB.,EX,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,A,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20004-POSITIVE PSYCHOLOGY,EX,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,B,Autumn20
IM21003-OPERATIONS RESEARCH-I,EX,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,EX,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,A,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20006-MICRO ECONOMICS-II,EX,Spring20
HS20008-MACRO ECONOMICS-II,B,Spring20
HS20009-DEVELOPMENT ECONOMICS,A,Spring20
MA20104-PROBABILITY & STATISTICS,A,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,C,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,D,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,D,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,P,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,P,Autumn19
PH11001-PHYSICS,D,Autumn19
PH19001-PHYSICS LAB.,B,Autumn19
CY11001-CHEMISTRY,D,Spring19
CY19001-CHEMISTRY LAB.,A,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,C,Spring19
EE11001-ELECTRICAL TECHNOLOGY,D,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,B,Spring19
HS13001-ENGLISH FOR COMMUNICATION,C,Spring19
MA10002-MATHEMATICS-II,C,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,EX,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,C,Autumn20
HS20003-STATISTICS FOR ECONOMICS,B,Autumn20
HS20005-MICRO ECONOMICS-I,B,Autumn20
HS20007-MACRO ECONOMICS-I,C,Autumn20
HS30057-SOCIOLOGY OF ECONOMICS DEVELOPMENT,A,Autumn20
IM21003-OPERATIONS RESEARCH-I,P,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,B,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,C,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,C,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20006-MICRO ECONOMICS-II,A,Spring20
HS20008-MACRO ECONOMICS-II,B,Spring20
HS20009-DEVELOPMENT ECONOMICS,B,Spring20
MA20104-PROBABILITY & STATISTICS,C,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,C,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,C,Autumn19
ME10001-MECHANICS,D,Autumn19
PH11001-PHYSICS,C,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring19
CY19001-CHEMISTRY LAB.,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
EE11001-ELECTRICAL TECHNOLOGY,D,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring19
HS13001-ENGLISH FOR COMMUNICATION,C,Spring19
MA10002-MATHEMATICS-II,EX,Spring19
ME19001-INTRODUCTION TO MANUFACTURING PROCESSES,A,Spring19
EA10003-EXTRA ACADEMIC ACTIVITY-III,B,Autumn20
HS20003-STATISTICS FOR ECONOMICS,A,Autumn20
HS20004-POSITIVE PSYCHOLOGY,EX,Autumn20
HS20005-MICRO ECONOMICS-I,EX,Autumn20
HS20007-MACRO ECONOMICS-I,EX,Autumn20
IM21003-OPERATIONS RESEARCH-I,A,Autumn20
MA20103-PARTIAL DIFFERENTIAL EQUATIONS,A,Autumn20
BS20001-SCIENCE OF LIVING SYSTEM,A,Spring20
EA10004-EXTRA ACADEMIC ACTIVITY-IV,EX,Spring20
EV20001-ENVIRONMENTAL SCIENCE,A,Spring20
HS20006-MICRO ECONOMICS-II,A,Spring20
HS20008-MACRO ECONOMICS-II,EX,Spring20
HS20009-DEVELOPMENT ECONOMICS,EX,Spring20
MA20013-DISCRETE MATHEMATICS,A,Spring20
MA20104-PROBABILITY & STATISTICS,C,Spring20
CE13001-ENGINEERING DRAWING AND COMPUTER GRAPHICS,B,Autumn19
CS10001-PROGRAMMING AND DATA STRUCTURES,B,Autumn19
CS19101-PROGRAMMING AND DATA STRUCTURES TUTORIAL AND LABORATORY,A,Autumn19
EA10001-EXTRA ACADEMIC ACTIVITY-I,A,Autumn19
EA10005-INDUCTION PROGRAM,Y,Autumn19
MA10001-MATHEMATICS-I,A,Autumn19
ME10001-MECHANICS,C,Autumn19
PH11001-PHYSICS,A,Autumn19
PH19001-PHYSICS LAB.,EX,Autumn19
CY11001-CHEMISTRY,B,Spring19
CY19001-CHEMISTRY LAB.,EX,Spring19
EA10002-EXTRA ACADEMIC ACTIVITY-II,B,Spring19
EE11001-ELECTRICAL TECHNOLOGY,A,Spring19
EE19001-ELECTRICAL TECHNOLOGY LAB.,A,Spring19
